iter	Passed	Remaining
0	1	99
1	1	96
2	2	92
3	3	88
4	4	88
5	5	87
6	6	88
7	7	87
8	8	86
9	9	87
10	10	88
11	11	87
12	12	86
13	13	85
14	14	84
15	16	84
16	17	83
17	18	82
18	18	80
19	19	79
20	20	78
21	21	77
22	22	76
23	23	75
24	24	74
25	26	74
26	27	74
27	28	73
28	29	72
29	30	71
30	31	70
31	32	69
32	33	68
33	34	67
34	35	66
35	36	65
36	37	64
37	38	63
38	39	62
39	40	60
40	41	59
41	42	58
42	43	57
43	44	56
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	54	44
55	55	43
56	56	42
57	57	41
58	58	40
59	59	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	69	31
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	84	14
85	85	13
86	86	12
87	87	11
88	88	10
89	89	9
90	90	8
91	91	7
92	93	7
93	94	6
94	95	5
95	96	4
96	96	2
97	97	1
98	98	0
99	99	0
